SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
2016,1610612756,PHX,Phoenix Suns,1521600007,2016-07-09,PHX @ POR,W,198,86,32,72,0.444,8,23,0.348,14,26,0.538,11.0,32.0,43.0,18,6,1,8,22,13.0
2015,1610612756,PHX,Phoenix Suns,0021501229,2016-04-13,PHX vs. LAC,W,240,114,45,99,0.455,7,26,0.269,17,22,0.773,18.0,40.0,58.0,26,10,5,16,15,9.0
2015,1610612756,PHX,Phoenix Suns,0021501211,2016-04-11,PHX vs. SAC,L,239,101,41,100,0.41,5,22,0.227,14,17,0.824,17.0,34.0,51.0,21,8,3,19,25,-4.0
2015,1610612756,PHX,Phoenix Suns,0021501189,2016-04-09,PHX @ NOP,W,239,121,43,83,0.518,10,25,0.4,25,31,0.806,11.0,42.0,53.0,27,6,8,17,25,21.0
2015,1610612756,PHX,Phoenix Suns,0021501175,2016-04-07,PHX @ HOU,W,240,124,44,94,0.468,12,31,0.387,24,29,0.828,20.0,27.0,47.0,31,11,2,19,24,9.0
2015,1610612756,PHX,Phoenix Suns,0021501157,2016-04-05,PHX @ ATL,L,242,90,30,81,0.37,12,31,0.387,18,30,0.6,11.0,40.0,51.0,19,13,4,24,19,-13.0
2015,1610612756,PHX,Phoenix Suns,0021501149,2016-04-03,PHX vs. UTA,L,239,86,33,78,0.423,8,27,0.296,12,19,0.632,12.0,33.0,45.0,16,5,1,21,19,-15.0
2015,1610612756,PHX,Phoenix Suns,0021501137,2016-04-01,PHX vs. WAS,L,241,99,36,93,0.387,7,23,0.304,20,26,0.769,17.0,39.0,56.0,19,5,3,16,22,-7.0
2015,1610612756,PHX,Phoenix Suns,0021501115,2016-03-30,PHX @ MIL,L,240,94,38,84,0.452,5,24,0.208,13,17,0.765,15.0,34.0,49.0,23,6,4,22,23,-11.0
2015,1610612756,PHX,Phoenix Suns,0021501101,2016-03-28,PHX @ MIN,L,240,116,41,84,0.488,15,33,0.455,19,23,0.826,7.0,29.0,36.0,22,9,2,21,34,-5.0
2015,1610612756,PHX,Phoenix Suns,0021501090,2016-03-26,PHX vs. BOS,L,240,99,37,85,0.435,7,31,0.226,18,21,0.857,12.0,32.0,44.0,19,7,3,20,24,-3.0
2015,1610612756,PHX,Phoenix Suns,0021501079,2016-03-25,PHX @ SAC,L,238,94,35,94,0.372,9,32,0.281,15,23,0.652,18.0,39.0,57.0,20,4,2,22,27,-22.0
2015,1610612756,PHX,Phoenix Suns,0021501065,2016-03-23,PHX vs. LAL,W,240,119,47,93,0.505,13,28,0.464,12,20,0.6,15.0,37.0,52.0,31,6,4,13,21,12.0
2015,1610612756,PHX,Phoenix Suns,0021501051,2016-03-21,PHX vs. MEM,L,239,97,30,76,0.395,11,28,0.393,26,34,0.765,9.0,36.0,45.0,22,8,10,17,18,-6.0
2015,1610612756,PHX,Phoenix Suns,0021501027,2016-03-18,PHX @ LAL,W,240,95,32,89,0.36,8,30,0.267,23,26,0.885,17.0,40.0,57.0,19,5,6,11,21,5.0
2015,1610612756,PHX,Phoenix Suns,0021501019,2016-03-17,PHX @ UTA,L,239,69,28,82,0.341,6,26,0.231,7,14,0.5,10.0,33.0,43.0,14,9,1,21,16,-34.0
2015,1610612756,PHX,Phoenix Suns,0021500995,2016-03-14,PHX vs. MIN,W,241,107,40,95,0.421,11,35,0.314,16,20,0.8,19.0,38.0,57.0,22,8,3,23,26,3.0
2015,1610612756,PHX,Phoenix Suns,0021500981,2016-03-12,PHX @ GSW,L,238,116,45,92,0.489,11,29,0.379,15,20,0.75,9.0,38.0,47.0,29,3,3,12,30,-7.0
2015,1610612756,PHX,Phoenix Suns,0021500961,2016-03-10,PHX @ DEN,L,241,98,33,89,0.371,6,28,0.214,26,33,0.788,16.0,36.0,52.0,19,4,4,14,18,-18.0
2015,1610612756,PHX,Phoenix Suns,0021500956,2016-03-09,PHX vs. NYK,L,241,97,39,89,0.438,9,29,0.31,10,15,0.667,10.0,28.0,38.0,16,6,0,11,21,-31.0
2015,1610612756,PHX,Phoenix Suns,0021500932,2016-03-06,PHX @ MEM,W,242,109,37,71,0.521,12,28,0.429,23,30,0.767,10.0,37.0,47.0,24,3,3,15,23,9.0
2015,1610612756,PHX,Phoenix Suns,0021500913,2016-03-04,PHX @ ORL,W,241,102,35,78,0.449,5,14,0.357,27,39,0.692,8.0,49.0,57.0,18,8,5,18,16,18.0
2015,1610612756,PHX,Phoenix Suns,0021500908,2016-03-03,PHX @ MIA,L,239,92,33,82,0.402,5,22,0.227,21,27,0.778,6.0,32.0,38.0,12,7,2,9,24,-16.0
2015,1610612756,PHX,Phoenix Suns,0021500891,2016-03-01,PHX @ CHA,L,239,92,33,91,0.363,6,27,0.222,20,27,0.741,13.0,29.0,42.0,14,5,2,11,22,-34.0
2015,1610612756,PHX,Phoenix Suns,0021500875,2016-02-27,PHX vs. MEM,W,240,111,37,80,0.463,12,32,0.375,25,35,0.714,16.0,40.0,56.0,19,4,3,18,28,5.0
2015,1610612756,PHX,Phoenix Suns,0021500858,2016-02-25,PHX vs. BKN,L,240,106,42,98,0.429,9,27,0.333,13,23,0.565,21.0,29.0,50.0,16,10,4,20,29,-10.0
2015,1610612756,PHX,Phoenix Suns,0021500839,2016-02-22,PHX @ LAC,L,241,84,31,88,0.352,7,24,0.292,15,20,0.75,10.0,31.0,41.0,20,8,2,16,27,-40.0
2015,1610612756,PHX,Phoenix Suns,0021500826,2016-02-21,PHX vs. SAS,L,239,111,43,93,0.462,9,24,0.375,16,22,0.727,13.0,33.0,46.0,26,6,5,13,30,-7.0
2015,1610612756,PHX,Phoenix Suns,0021500814,2016-02-19,PHX vs. HOU,L,241,100,30,82,0.366,11,35,0.314,29,35,0.829,9.0,31.0,40.0,23,7,6,20,33,-16.0
2015,1610612756,PHX,Phoenix Suns,0021500799,2016-02-10,PHX vs. GSW,L,241,104,41,93,0.441,6,21,0.286,16,22,0.727,10.0,40.0,50.0,21,7,6,18,23,-8.0
2015,1610612756,PHX,Phoenix Suns,0021500783,2016-02-08,PHX vs. OKC,L,240,106,37,73,0.507,1,11,0.091,31,39,0.795,9.0,27.0,36.0,22,9,4,17,30,-16.0
2015,1610612756,PHX,Phoenix Suns,0021500768,2016-02-06,PHX vs. UTA,L,240,89,30,80,0.375,9,24,0.375,20,26,0.769,12.0,27.0,39.0,19,3,6,10,23,-9.0
2015,1610612756,PHX,Phoenix Suns,0021500749,2016-02-04,PHX vs. HOU,L,239,105,32,83,0.386,11,29,0.379,30,32,0.938,18.0,36.0,54.0,22,9,1,24,26,-6.0
2015,1610612756,PHX,Phoenix Suns,0021500732,2016-02-02,PHX vs. TOR,L,238,97,37,79,0.468,12,31,0.387,11,15,0.733,8.0,30.0,38.0,23,5,4,16,26,-7.0
2015,1610612756,PHX,Phoenix Suns,0021500717,2016-01-31,PHX @ DAL,L,240,78,27,74,0.365,5,23,0.217,19,24,0.792,11.0,33.0,44.0,13,7,6,19,20,-13.0
2015,1610612756,PHX,Phoenix Suns,0021500700,2016-01-29,PHX @ NYK,L,241,84,35,85,0.412,7,26,0.269,7,12,0.583,12.0,35.0,47.0,20,4,5,16,19,-18.0
2015,1610612756,PHX,Phoenix Suns,0021500684,2016-01-27,PHX @ CLE,L,240,93,33,70,0.471,8,20,0.4,19,25,0.76,12.0,22.0,34.0,25,6,2,22,17,-22.0
2015,1610612756,PHX,Phoenix Suns,0021500677,2016-01-26,PHX @ PHI,L,239,103,39,83,0.47,6,19,0.316,19,28,0.679,10.0,35.0,45.0,27,6,6,17,30,-10.0
2015,1610612756,PHX,Phoenix Suns,0021500660,2016-01-23,PHX vs. ATL,W,240,98,34,85,0.4,10,24,0.417,20,26,0.769,15.0,37.0,52.0,22,10,6,17,17,3.0
2015,1610612756,PHX,Phoenix Suns,0021500644,2016-01-21,PHX vs. SAS,L,240,89,32,81,0.395,6,18,0.333,19,23,0.826,9.0,34.0,43.0,18,3,4,13,26,-28.0
2015,1610612756,PHX,Phoenix Suns,0021500628,2016-01-19,PHX vs. IND,L,241,94,28,81,0.346,11,35,0.314,27,29,0.931,13.0,40.0,53.0,15,4,2,22,23,-3.0
2015,1610612756,PHX,Phoenix Suns,0021500610,2016-01-17,PHX @ MIN,L,240,87,35,81,0.432,3,15,0.2,14,25,0.56,9.0,21.0,30.0,16,5,2,15,29,-30.0
2015,1610612756,PHX,Phoenix Suns,0021500595,2016-01-15,PHX @ BOS,L,240,103,35,89,0.393,10,27,0.37,23,28,0.821,9.0,36.0,45.0,24,9,5,14,22,-14.0
2015,1610612756,PHX,Phoenix Suns,0021500569,2016-01-12,PHX @ IND,L,240,97,36,89,0.404,8,25,0.32,17,27,0.63,16.0,29.0,45.0,24,6,3,18,25,-19.0
2015,1610612756,PHX,Phoenix Suns,0021500547,2016-01-08,PHX vs. MIA,L,239,95,40,92,0.435,6,24,0.25,9,13,0.692,15.0,31.0,46.0,15,5,4,14,22,-8.0
2015,1610612756,PHX,Phoenix Suns,0021500533,2016-01-06,PHX vs. CHA,W,240,111,41,84,0.488,19,33,0.576,10,13,0.769,2.0,37.0,39.0,25,11,2,12,21,9.0
2015,1610612756,PHX,Phoenix Suns,0021500510,2016-01-03,PHX @ LAL,L,239,77,32,89,0.36,6,27,0.222,7,9,0.778,9.0,36.0,45.0,16,8,4,14,20,-20.0
2015,1610612756,PHX,Phoenix Suns,0021500496,2016-01-02,PHX @ SAC,L,238,119,43,83,0.518,10,29,0.345,23,28,0.821,4.0,21.0,25.0,27,9,7,16,28,-23.0
2015,1610612756,PHX,Phoenix Suns,0021500488,2015-12-31,PHX @ OKC,L,241,106,43,82,0.524,8,20,0.4,12,13,0.923,11.0,26.0,37.0,24,10,3,16,24,-4.0
2015,1610612756,PHX,Phoenix Suns,0021500481,2015-12-30,PHX @ SAS,L,241,79,32,81,0.395,5,18,0.278,10,18,0.556,8.0,28.0,36.0,18,6,3,15,23,-33.0
2015,1610612756,PHX,Phoenix Suns,0021500466,2015-12-28,PHX vs. CLE,L,240,97,36,79,0.456,11,25,0.44,14,20,0.7,14.0,30.0,44.0,20,8,1,16,23,-4.0
2015,1610612756,PHX,Phoenix Suns,0021500451,2015-12-26,PHX vs. PHI,L,240,104,34,88,0.386,10,27,0.37,26,34,0.765,12.0,29.0,41.0,17,10,3,14,26,-7.0
2015,1610612756,PHX,Phoenix Suns,0021500433,2015-12-23,PHX vs. DEN,L,241,96,36,87,0.414,13,25,0.52,11,17,0.647,12.0,34.0,46.0,21,9,2,16,19,-8.0
2015,1610612756,PHX,Phoenix Suns,0021500417,2015-12-21,PHX @ UTA,L,240,89,31,79,0.392,7,24,0.292,20,22,0.909,9.0,31.0,40.0,12,3,0,13,26,-21.0
2015,1610612756,PHX,Phoenix Suns,0021500406,2015-12-20,PHX vs. MIL,L,241,95,33,74,0.446,8,18,0.444,21,24,0.875,6.0,33.0,39.0,18,8,2,20,22,-6.0
2015,1610612756,PHX,Phoenix Suns,0021500396,2015-12-18,PHX vs. NOP,W,241,104,44,84,0.524,6,16,0.375,10,17,0.588,12.0,33.0,45.0,22,10,2,19,27,16.0
2015,1610612756,PHX,Phoenix Suns,0021500381,2015-12-16,PHX @ GSW,L,239,103,41,91,0.451,5,22,0.227,16,18,0.889,7.0,34.0,41.0,28,11,4,20,20,-25.0
2015,1610612756,PHX,Phoenix Suns,0021500363,2015-12-14,PHX @ DAL,L,240,94,33,80,0.413,9,25,0.36,19,27,0.704,12.0,35.0,47.0,19,9,5,16,23,-10.0
2015,1610612756,PHX,Phoenix Suns,0021500353,2015-12-13,PHX vs. MIN,W,240,108,39,87,0.448,10,30,0.333,20,24,0.833,12.0,26.0,38.0,28,16,8,14,26,7.0
2015,1610612756,PHX,Phoenix Suns,0021500343,2015-12-11,PHX vs. POR,L,240,96,36,83,0.434,13,35,0.371,11,18,0.611,8.0,32.0,40.0,21,8,7,9,9,-10.0
2015,1610612756,PHX,Phoenix Suns,0021500326,2015-12-09,PHX vs. ORL,W,240,107,41,80,0.513,6,24,0.25,19,27,0.704,11.0,33.0,44.0,23,9,6,18,16,3.0
